num_hidden_dense,num_neurons,loss,val_loss,uuid
2,3,0.03684951646460427,0.03302996125072241,d22af7f5-5618-4f7b-8558-4d9d8b7e70ee
15,26,4.942843874232494e-05,1.5933794893499e-05,cc8c9292-5c8e-422b-9268-0faef601b082
40,71,0.4990999492009481,0.5053252601623535,050db982-dc5c-4090-bb72-10d3a666b29d
22,27,1.1144291508773878e-05,1.596097594301682e-05,31582737-fc98-434a-8eab-49db195113d8
6,63,1.1746330781963682e-05,2.3571704878122545e-06,1910fcba-ffd7-4533-960e-ef66d5c78972
5,68,3.737111769927045e-05,4.437209581737989e-06,ea58ade7-928c-4feb-a7e6-45729761e13f
5,54,5.412535416932466e-06,3.6234245453670155e-06,7957e1c3-c89f-485d-a1b8-489fcb1c40f2
17,56,9.714938613696075e-06,6.845419620731263e-06,4c5ab034-c992-4db8-a605-4c1533e74103
48,2,0.4989981524149577,0.5054996061325073,acdd03ec-1b16-44d2-9826-71015ba237c1
27,2,0.49892018172476027,0.5055082821846009,b50f4197-939c-4f98-8dc3-969b9165d91a
49,44,0.49980797635184393,0.5053434610366822,df725d81-05c1-426e-aa21-d1f71f25a4be
48,96,0.4993409811125861,0.5052952623367309,0646a38f-ca82-4ecb-85c2-2d3b218acb60
9,50,1.4546716567767565e-05,6.032583351043286e-06,91a870bb-5591-4f60-b2a6-a5d2cafc37bb
3,59,7.11931020163724e-05,6.270651179875131e-05,f259aaf8-40df-4c34-ba1d-ac80b9ec7c33
24,98,1.0245705580018694e-05,7.659456114197383e-06,4186a3d2-7a6d-494b-b097-35e07d62e510
15,86,1.5934995721585842e-05,2.9853822024961117e-06,519ce047-f458-40ee-b42e-372080ee079f
36,99,0.4991967231697506,0.5052844250202179,9e6ad726-8fba-41a7-b756-274cefb420a5
35,44,0.4990322960747613,0.5053932821750641,753c064b-7d1a-4140-8e41-e41261b2b567
3,25,0.0005602948725896163,0.0006660678284242749,24097e8d-65db-4983-a984-4f97c895d1d1
2,99,0.005363848217659527,0.005224865898489952,2c3eabc5-e06b-4382-9faf-f482f3c70e7e
18,4,0.4989501142501831,0.5055068457126617,ede8f295-be1f-44e6-9a70-1f2f7f16c532
30,73,9.843713499625058e-05,7.989050616743043e-05,0d8d61d8-b268-4b08-8d51-f97006519875
13,94,3.58216424097514e-05,1.5244524256559089e-05,65c5d9da-d174-411d-a579-530eece74b75
47,71,0.49897900263468425,0.5053663694858551,afe25155-0584-45ad-a64a-0b3700599c9e
12,73,1.1075223180038543e-05,7.554402691312134e-06,626d2ff5-3177-4327-928b-67a58b63e813
26,15,2.405725351612394e-05,1.316807512921514e-05,c1421658-638d-433b-b6a4-24818469ee95
18,90,1.2569591102267927e-05,1.1302777711534872e-05,3f42256d-1878-4e34-b38f-ca5fc3f6a599
26,68,0.00012380542306345888,2.3765300793456844e-05,d175e35b-52f6-4f9e-b3e1-a4df0be3d219
10,83,1.9297714873876734e-05,1.5963571568136102e-05,4b5690e5-2a26-4abd-a295-2185d3ff16fc
9,64,3.098210620818362e-05,1.163319160696119e-05,8731920a-76fd-470d-a29f-e3f2f600fd0d
49,17,0.4989023983478546,0.5054678571224213,ca963534-3a70-49dc-a677-ed48ebcb50ca
26,15,3.3428553553878576e-05,3.7112348945811394e-05,d872ec40-b08f-41b9-919a-5e254375170a
26,15,2.3473753382050847e-05,8.508333885401952e-06,5d60ec3d-9bd9-4c4a-a194-94fcc21429b7
26,15,1.584420370515242e-05,8.30716055133962e-06,3c8903c1-cd65-4a11-8bfb-11541fc8d09a
26,15,2.4720166364002378e-05,1.6066404059529303e-05,45f10cee-8be5-4740-93f1-649ec66897ec
26,15,1.780715884857879e-05,8.740192429286253e-06,1cace70e-4018-4971-98d6-eb7a7500a593
26,15,1.8241293235203355e-05,1.1151061407872475e-05,5664d821-34a8-4595-9ebd-1bbe03ae518f
26,15,2.794362316005087e-05,4.859859800490085e-06,2d72ead3-0b75-4aca-b681-956e1ca7964c
26,15,2.8827759872203588e-05,1.4702248154208065e-05,cc0d9bb2-2492-40bb-967e-6f588c3e96eb
26,15,1.3434134094849367e-05,4.939163804920099e-06,ec046264-62cb-4ba1-bfcd-b4865f6831f3
26,15,8.213398155526697e-06,1.0597386863082647e-05,de47abb1-93ab-4e75-88c9-c3b524eac2b4
26,15,1.0853196109666088e-05,9.062903809535782e-06,d7da3d31-3802-417f-a294-10388a8e9a4e
26,15,1.824063117156685e-05,1.630018370633479e-05,3ae8f1f2-b2f9-44df-860c-f891d2cc1dff
26,15,1.525008819751545e-05,1.6772662183939248e-05,8f67609c-1306-49a4-a548-b4551ac4782a
26,15,4.3479770376709184e-05,3.093103674473241e-05,ba794071-2cc7-4380-ab21-6ea320d2b8fd
26,15,1.763175557749087e-05,7.69240689351136e-06,6c4c20a4-8f98-417a-83b4-fe8407047ca7
26,15,8.135139289354103e-06,3.986374513260671e-06,345526cc-acfa-4686-9743-97d71cb9d627
26,15,1.436874361994948e-05,1.1256295583734755e-05,e63f3934-1a51-4cfd-9408-4a986febf51f
26,15,7.295435960663275e-05,3.8147336163092404e-05,5d9ba824-c4ba-4c85-a81e-00fbc113733f
26,15,1.1137306783995074e-05,6.936386052984744e-06,471326e4-ff69-40f6-8adb-a0e1e2c0953a
